"","fit","lwr","upr"
"2207",618.45273506234,460.950453089979,829.772013330523
"2208",719.278256268746,536.079649335322,965.08272713295
"2209",838.324227399628,624.815355279438,1124.79231553276
"2210",1257.48465917784,937.237183573731,1687.15848643368
"2211",1613.4581993489,1202.29769165057,2165.22694763918
"2212",863.401280238769,643.384315220522,1158.65704693537
"2213",545.404370288298,406.517508595889,731.741981192943
"2214",619.369891135914,461.632083627822,831.006066629883
"2215",720.3449350688,536.872274715634,966.518201660011
"2216",839.567449578451,625.73923769806,1126.46524290968
"2217",1259.34948995182,938.623112236049,1689.66768148689
"2218",1615.85093351127,1204.07560616051,2168.44708585615
"2219",864.681691308537,644.335757573049,1160.38015661334
"2220",546.21319673922,407.118714649756,732.830119462201
"2221",620.288407338105,462.314711354649,832.241974629462
"2222",721.413195737418,537.666059515867,967.955833873341
"2223",840.812515437006,626.664471615288,1128.1406847483
"2224",1261.21708624168,940.011068421932,1692.18064772188
"2225",1618.24721606228,1205.85612170914,2171.67206364689
"2226",865.9640012086,645.288591900678,1162.10585589375
"2227",547.023222667564,407.720800334989,733.919892955553
"2228",621.208285685963,462.998337713664,833.479740144441
"2229",722.483040620488,538.461005413828,969.395627048355
"2230",842.05942770944,627.591058986991,1129.81864486544
"2231",1263.08745214867,941.401055065739,1694.69739086282
"2232",1620.64705226417,1207.63924206098,2174.90188835706
"2233",867.248212754895,646.242820218075,1163.83414870707
"2234",547.834449852136,408.32376692478,735.011304154824
"2235",622.12952819953,463.682964150138,834.719365994318
"2236",723.554472067374,539.257114089729,970.837584465478
"2237",946.728817599024,705.774728526461,1269.9455192222
"2238",1296.45878769952,966.469815346479,1739.11834753032
"2239",1719.38813331291,1280.70463203311,2308.33517661614
"2240",1061.93630154238,791.639442969924,1424.52314440369
"2241",630.939826725532,470.256445586668,846.527609955061
"2242",677.685924289205,505.105698784059,909.231895591925
"2243",839.314427290724,625.583564228603,1126.06652114814
"2244",948.132802149276,706.818440085059,1271.83412249864
"2245",1298.38141651796,967.898912615833,1741.70492474589
"2246",1721.93795996884,1282.5981903835,2311.76868969002
"2247",1063.51113705282,792.810016322268,1426.64183770306
"2248",631.875500967611,470.95183187522,847.786592385219
"2249",678.690922288566,505.852663340632,910.584052192151
"2250",840.559117921043,626.50875101161,1127.74104045533
"2251",949.538868787429,707.863678594825,1273.7255641198
"2252",1300.30689656593,969.330100460804,1744.29538962336
"2253",2960.95719224988,2186.40740565437,4009.89654154246
"2254",1065.08830802057,793.982302055839,1428.76371544404
"2255",632.812562800471,471.648235468721,849.047466996529
"2256",679.697410684795,506.600720723619,911.938240892589
"2257",841.805654408785,627.435291445846,1129.41807618382
"2258",950.947020601188,708.910446265726,1275.61984839381
"2259",1302.23523207176,970.763381906845,1746.88974806397
"2260",1727.04896295177,1286.39362056061,2318.65120656687
"2261",1066.66781790905,795.156302648764,1430.88878246047
"2262",633.751014281889,472.345657839478,850.310236661085
"2263",680.705391688127,507.34987251471,913.294464777563
"2264",843.054039491328,628.363187490607,1131.09763215286
"2265",952.357260682839,709.958745310898,1277.51697963541
"2266",1304.16642727004,972.198759983753,1749.48800597804
"2267",1729.61015050245,1288.29550040973,2322.10022605038
"2268",1147.33043703764,855.138080589317,1539.36207687746
"2269",793.970915937085,591.748251095425,1065.30068181362
"2270",825.656952784608,615.374249523069,1107.79644128741
"2271",943.822339645421,703.456209145004,1266.31991761997
"2272",1038.14406664043,773.591912964469,1393.1674892654
"2273",1403.72099994442,1046.01660314906,1883.748919236
"2274",1750.95908808125,1305.07851589797,2349.17492762865
"2275",1149.03191076241,856.402616128646,1541.65144651076
"2276",795.148362824307,592.623185786855,1066.88522161463
"2277",826.881389586328,616.284171862851,1109.44409034145
"2278",945.222013932726,704.496436891008,1268.20322834544
"2279",1039.68361862554,774.735872814328,1395.23941612725
"2280",1405.80269700502,1047.56346165048,1886.55035733383
"2281",1753.55573398669,1307.00861998436,2352.66827255846
"2282",1150.73590774705,857.669001615769,1543.9442569147
"2283",796.327555847493,593.499400296893,1068.47214316446
"2284",828.107642209348,617.195425279779,1111.0942158631
"2285",946.623763915878,705.538186422602,1270.08936958307
"2286",1041.22545374302,775.881506245132,1397.31445690603
"2287",1407.88748119095,1049.11258323019,1889.35600561689
"2288",1756.15623067884,1308.94154802783,2356.16686719041
"2289",1152.4424317335,858.937239728063,1546.2405133119
"2290",797.50849759614,594.376896477577,1070.06145007866
"2291",829.335713346504,618.108011700168,1112.74682161148
"2292",948.027592673102,706.58145994221,1271.9783456292
"2293",1042.7695753787,777.028815679064,1399.39261632814
"2294",1409.97535708037,1050.66397116362,1892.16587047538
"2295",1758.76058386833,1310.87730411582,2359.67071949212
"2296",1154.15148646927,860.207333146744,1548.54022093298
"2297",798.691190663578,595.255676183597,1071.65314597832
